NAME,TYPE,SLOT,CLASS,RACE,MATERIAL,SIZE,WEIGHT,VALUE,RENT,ML,ABILITIES,FLAGS,SPELL_NAME,SPELL_LVL,SPELL_REMAIN_CHG,SPELL_MAX_CHG,AP_APPLY,CUSTOM,BINDING,SOCKET_REMAIN,SOCKET_DICE1,SOCKET_DICE2,SOCKET_AC,SOCKET_PROF,ENCHANT_RENT_ADD,ENCHANT_AC_ADD,ENCHANT_DICE1_ADD,ENCHANT_DICE2_ADD,ENCHANT_SOCKETS_USED,DAM_TYPE,DAM_DICE,DAM_AVG,REQ_WEAP_SKILL,AFFECT,PROF_MOD,CAST,MOB,ZONE,ORIG_RAW
"a small pouch of mindflayer salts",ENCHANT_MATERIAL,,NONE,NONE,leather,special,1,3,2000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,750,0,0,0,1,,,,,1MANA_GAIN,,,random,random,"Object 'a small pouch of mindflayer salts', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: leather
Size: special
Weight: 1, Value: 3, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 750, Adds 0 to Natural Armor AC.
Adds 0 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 1 Sockets Upon Enchant.
Contains the following affect powers upon enchanting:
   MANA_GAIN By 1"
"a torniquete",ENCHANT_MATERIAL,,NONE,NONE,leather,special,1,3,2000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,2000,0,0,0,1,,,,,2LIFE_DMG,,,random,random,"Object 'a torniquete', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: leather
Size: special
Weight: 1, Value: 3, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 2000, Adds 0 to Natural Armor AC.
Adds 0 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 1 Sockets Upon Enchant.
Contains the following affect powers upon enchanting:
   LIFE_DMG By 2"
"a basilisk thagomizer",WORN,TRINKET,NONE,NONE,bone,special,3,21000,3500,15,FREE_ACTION,GLOW MAGIC ANTI_GOOD UNIQUE UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,5MANA_GAIN,,,"An armored basilisk","Blightland","Object 'a basilisk thagomizer', Item type: WORN
Can be worn on: TAKE TRINKET 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: bone
Size: special
Weight: 3, Value: 21000, Rent: 3500, Min Level: 15
Item will give you following abilities:  FREE_ACTION 
Item is: GLOW MAGIC ANTI_GOOD UNIQUE UNBREAKABLE 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   MANA_GAIN By 5"
"a silver power crystal",ENCHANT_MATERIAL,,NONE,NONE,crystal,special,1,3,3000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,2500,0,0,0,2,,,,,2DAMROLL -2HITROLL,,,random,random,"Object 'a silver power crystal', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: crystal
Size: special
Weight: 1, Value: 3, Rent: 3000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 2500, Adds 0 to Natural Armor AC.
Adds 0 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 2 Sockets Upon Enchant.
Contains the following affect powers upon enchanting:
   DAMROLL By 2
   HITROLL By -2"
"The Jewel of the Deep",OTHER,HOLD,MAGIC_USER PALADIN BARD MONK RANGER DRUID NECROMANCER WARLOCK,NONE,sapphire,normal,3,62000,10000,20,NONE,MAGIC UNBREAKABLE !IDENTIFY,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,6SPELL_DMG,,,"in buried chest","Burning Talon","Object 'The Jewel of the Deep', Item type: OTHER
Can be worn on: TAKE HOLD 
Class restrictions: MAGIC_USER PALADIN BARD MONK RANGER DRUID NECROMANCER WARLOCK 
Race restrictions: NONE 
Object Material: sapphire
Size: normal
Weight: 3, Value: 62000, Rent: 10000, Min Level: 20
Item will give you following abilities:  NONE 
Item is: MAGIC UNBREAKABLE !IDENTIFY
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   SPELL_DMG By 6"
"a slender, bone earring",OTHER,HEAD,MAGIC_USER CLERIC BARD RANGER DRUID NECROMANCER WARLOCK,NONE,bone,large,4,20000,6000,0,NONE,UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,19MAXMANA 3MOVE_GAIN,+40teleport minor,,"A hill giant","Blightland","Object 'a slender, bone earring', Item type: OTHER
Can be worn on: TAKE HEAD 
Class restrictions: MAGIC_USER CLERIC BARD RANGER DRUID NECROMANCER WARLOCK 
Race restrictions: NONE 
Object Material: bone
Size: large
Weight: 4, Value: 20000, Rent: 6000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   MAXMANA By 19
   MOVE_GAIN By 3
Modifies the following proficiencies:
   +40 to teleport minor"
"a hill giant's girdle",OTHER,WAIST,NONE,NONE,leather,large,8,35000,5500,0,NONE,UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1DAMROLL -1DEX 1STR,,,"A hill giant","Sylvan Jungle","Object 'a hill giant's girdle', Item type: OTHER
Can be worn on: TAKE WAIST 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: leather
Size: large
Weight: 8, Value: 35000, Rent: 5500, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DAMROLL By 1
   STR By 1
   DEX By -1"
"a steel claymore named, 'Nylaetha'",WEAPON,WIELD,NONE,NONE,steel,special,22,21010,1500,10,NONE,ANTI_EVIL TWO_HANDED_WPN UNIQUE UNBREAKABLE GOOD_FLAGGED,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,slash,4D6,14.0,slash attack,-1INT 1MELEE_CRIT_PCT -1WIS,,,"The Captain of the Guard","Juris","Object 'a steel claymore named, 'Nylaetha'', Item type: WEAPON
Can be worn on: TAKE WIELD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: steel
Size: special
Weight: 22, Value: 21010, Rent: 1500, Min Level: 10
Item will give you following abilities:  NONE 
Item is: ANTI_EVIL TWO_HANDED_WPN UNIQUE UNBREAKABLE GOOD_FLAGGED 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: slash,  Damage Dice: '4D6', Average Damage 14.0.
Requires Weapon Skill: slash attack
Can affect you as:
   MELEE_CRIT_PCT By 1
   WIS By -1
   INT By -1"
"a bone handled dagger",WEAPON,WIELD,THIEF ANTIPALADIN,NONE,bone,normal,8,13874,1200,10,NONE,ANTI_GOOD UNBREAKABLE MAIN_HAND_WPN,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,pierce,4D4,10.0,pierce attack,1DAMROLL,,,"Pel","Juris","Object 'a bone handled dagger', Item type: WEAPON
Can be worn on: TAKE WIELD 
Class restrictions: THIEF ANTIPALADIN 
Race restrictions: NONE 
Object Material: bone
Size: normal
Weight: 8, Value: 13874, Rent: 1200, Min Level: 10
Item will give you following abilities:  NONE 
Item is: ANTI_GOOD UNBREAKABLE MAIN_HAND_WPN 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: pierce,  Damage Dice: '4D4', Average Damage 10.0.
Requires Weapon Skill: pierce attack
Can affect you as:
   DAMROLL By 1"
"a red robe of the Order of the Skull",WORN,BODY,PRIEST,NONE,cotton,normal,6,13540,900,10,DETECT_INVIS,ANTI_GOOD UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,10MAXMOVE,,,"A Priestess of the Order of the Skull","Juris","Object 'a red robe of the Order of the Skull', Item type: WORN
Can be worn on: TAKE BODY 
Class restrictions: PRIEST 
Race restrictions: NONE 
Object Material: cotton
Size: normal
Weight: 6, Value: 13540, Rent: 900, Min Level: 10
Item will give you following abilities:  DETECT_INVIS 
Item is: ANTI_GOOD UNBREAKABLE 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   MAXMOVE By 10"
"a diamond engagement ring",ARMOR,FINGER,NONE,NONE,diamond,special,1,500000,10000,0,NONE,UNBREAKABLE,,,,,0,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"Jeweler","Juris","Object 'a diamond engagement ring', Item type: ARMOR
Can be worn on: TAKE FINGER 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: diamond
Size: special
Weight: 1, Value: 500000, Rent: 10000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE 
AP-apply is 0
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"a gold wedding band",ARMOR,FINGER,NONE,NONE,gold,special,0,25000,2000,0,NONE,UNBREAKABLE,,,,,0,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"Jeweler","Juris","Object 'a gold wedding band', Item type: ARMOR
Can be worn on: TAKE FINGER 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: gold
Size: special
Weight: 0, Value: 25000, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE 
AP-apply is 0
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"some battle gauntlets",ARMOR,HANDS,WARRIOR,NONE,steel,large,8,13700,800,10,NONE,ANTI_EVIL UNBREAKABLE,,,,,4,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,-1CON 1DAMROLL,,,"The Jailor","Juris","Object 'some battle gauntlets', Item type: ARMOR
Can be worn on: TAKE HANDS 
Class restrictions: WARRIOR 
Race restrictions: NONE 
Object Material: steel
Size: large
Weight: 8, Value: 13700, Rent: 800, Min Level: 10
Item will give you following abilities:  NONE 
Item is: ANTI_EVIL UNBREAKABLE 
AP-apply is 4
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   CON By -1
   DAMROLL By 1"
"the Governor Ring",ARMOR,FINGER,NONE,NONE,silver,normal,4,11321,520,10,NONE,ANTI_EVIL UNBREAKABLE,,,,,3,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1CON 1DAMROLL,,,"The Governor of Juris","Juris","Object 'the Governor Ring', Item type: ARMOR
Can be worn on: TAKE FINGER 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: silver
Size: normal
Weight: 4, Value: 11321, Rent: 520, Min Level: 10
Item will give you following abilities:  NONE 
Item is: ANTI_EVIL UNBREAKABLE 
AP-apply is 3
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DAMROLL By 1
   CON By 1"
"a crescent moon shaped rock",OTHER,,NONE,NONE,stone,special,1,0,0,0,NONE,!RENT !DONATE !SELL,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"A smuggler","Juris","Object 'a crescent moon shaped rock', Item type: OTHER
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: stone
Size: special
Weight: 1, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT !DONATE !SELL 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"a crystalline figurine of a man",OTHER,,NONE,NONE,crystal,special,0,0,0,0,NONE,NONE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,-1HITROLL,,,"","Juris","Object 'a crystalline figurine of a man', Item type: OTHER
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: crystal
Size: special
Weight: 0, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: NONE 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   HITROLL By -1"
"a twine bracelet",ARMOR,WRIST,NONE,NONE,unknown,large,1,4250,800,0,NONE,UNBREAKABLE,,,,,2,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1HITROLL -1STR,,,"The Mayor's son","Juris","Object 'a twine bracelet', Item type: ARMOR
Can be worn on: TAKE WRIST 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: unknown
Size: large
Weight: 1, Value: 4250, Rent: 800, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE 
AP-apply is 2
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   STR By -1
   HITROLL By 1"
"a tarnished steel cup",OTHER,,NONE,NONE,steel,special,2,0,0,0,NONE,!RENT,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"A Honu tribeswoman","Darkrime","Object 'a tarnished steel cup', Item type: OTHER
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: steel
Size: special
Weight: 2, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"a tin dagger",WEAPON,WIELD HOLD,NONE,NONE,pewter,special,1,0,0,0,NONE,!RENT,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,stab,1D4,2.5,pierce attack,,,,"A Honu tribesman","Darkrime","Object 'a tin dagger', Item type: WEAPON
Can be worn on: TAKE WIELD HOLD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: pewter
Size: special
Weight: 1, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: stab,  Damage Dice: '1D4', Average Damage 2.5.
Requires Weapon Skill: pierce attack"
"a brass ring",OTHER,,NONE,NONE,brass,special,1,0,0,0,NONE,!RENT,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"A Honu child","Darkrime","Object 'a brass ring', Item type: OTHER
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: brass
Size: special
Weight: 1, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"a black bear pelt",OTHER,,NONE,NONE,wool,special,6,0,0,0,NONE,!RENT,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"A Honu tribesman","Darkrime","Object 'a black bear pelt', Item type: OTHER
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: wool
Size: special
Weight: 6, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"a small axe with a red handle",WEAPON,WIELD HOLD,NONE,NONE,iron,special,2,0,0,0,NONE,!RENT,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,slash,1D8,4.5,slash attack,,,,"A Honu tribesman","Darkrime","Object 'a small axe with a red handle', Item type: WEAPON
Can be worn on: TAKE WIELD HOLD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: iron
Size: special
Weight: 2, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: slash,  Damage Dice: '1D8', Average Damage 4.5.
Requires Weapon Skill: slash attack"
"a bronze spear",WEAPON,,NONE,NONE,bronze,normal,8,0,0,0,NONE,!RENT,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,pierce,2D8,9.0,pierce attack,,,,"in hut","Darkrime","Object 'a bronze spear', Item type: WEAPON
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: bronze
Size: normal
Weight: 8, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: pierce,  Damage Dice: '2D8', Average Damage 9.0.
Requires Weapon Skill: pierce attack"
"a chunk of flint",OTHER,,NONE,NONE,stone,special,1,0,0,0,NONE,!RENT,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"A Honu tribesman","Darkrime","Object 'a chunk of flint', Item type: OTHER
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: stone
Size: special
Weight: 1, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"a dried red herring",FOOD,,NONE,NONE,organic,special,1,0,0,0,NONE,!RENT,,,,,,,,,,,,,,,,,,,,,,,,,"A Honu tribeswoman","Darkrime","Object 'a dried red herring', Item type: FOOD
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: organic
Size: special
Weight: 1, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT "
"a tar-covered sword",WEAPON,WIELD,NONE,NONE,steel,special,5,0,0,0,NONE,!RENT,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,slash,1D12,6.5,slash attack,,,,"A Honu tribesman","Darkrime","Object 'a tar-covered sword', Item type: WEAPON
Can be worn on: TAKE WIELD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: steel
Size: special
Weight: 5, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: slash,  Damage Dice: '1D12', Average Damage 6.5.
Requires Weapon Skill: slash attack"
"a solid silver disc",TREASURE,,NONE,NONE,silver,special,4,0,0,0,NONE,!RENT,,,,,,,,,,,,,,,,,,,,,,,,,"Muri, Honu elder","Darkmire","Object 'a solid silver disc', Item type: TREASURE
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: silver
Size: special
Weight: 4, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT "
"an eagle feather",OTHER,,NONE,NONE,organic,special,1,0,0,0,NONE,!RENT,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"Gelsa, Honu witch","Darkmire","Object 'an eagle feather', Item type: OTHER
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: organic
Size: special
Weight: 1, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"a polished steel helmet",ARMOR,HEAD,WARRIOR ROGUE,NONE,steel,special,7,5500,1800,0,NONE,UNIQUE UNBREAKABLE,,,,,6,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1HITROLL 1STR,,,"The Rook Captain","Canticle","Object 'a polished steel helmet', Item type: ARMOR
Can be worn on: TAKE HEAD 
Class restrictions: WARRIOR ROGUE 
Race restrictions: NONE 
Object Material: steel
Size: special
Weight: 7, Value: 5500, Rent: 1800, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNIQUE UNBREAKABLE 
AP-apply is 6
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   STR By 1
   HITROLL By 1"
"a thin leather collar",WORN,NECK,NONE,NONE,leather,special,3,120000,30000,25,,MAGIC CURSED UNBREAKABLE !IDENTIFY,,,,,,,,,,,,,,,,,,,,,,-30RESIST_BLDG -1SIZE,,,"orange puppy","Nature's Descent","Object 'a thin leather collar', Item type: WORN
Can be worn on: TAKE NECK 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: leather
Size: special
Weight: 3, Value: 120000, Rent: 30000, Min Level: 25
Item is: MAGIC CURSED UNBREAKABLE !IDENTIFY 
Can affect you as:
   RESIST_BLDG By -30
   SIZE By -1"
"a tattoo of an eagle",WORN,NECK ARMS,NONE,NONE,organic,special,1,56000,5600,15,AIRWALK,UNIQUE UNBREAKABLE CURSED_DEADLY,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1DAMROLL 1DEX,,,"Kano, son of Goro","Darkmire","Object 'a tattoo of an eagle', Item type: WORN
Can be worn on: TAKE NECK ARMS 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: organic
Size: special
Weight: 1, Value: 56000, Rent: 5600, Min Level: 15
Item will give you following abilities:  AIRWALK 
Item is: UNIQUE UNBREAKABLE CURSED_DEADLY 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DEX By 1
   DAMROLL By 1"
"a brass coin",OTHER,,NONE,NONE,steel,special,1,0,0,0,NONE,!RENT,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"Kano, son of Goro","Darkmire","Object 'a brass coin', Item type: OTHER
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: steel
Size: special
Weight: 1, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"some wild berries",FOOD,HOLD,NONE,NONE,organic,special,2,500,100,0,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,"forage","mountain terrain","Object 'some wild berries', Item type: FOOD
Can be worn on: TAKE HOLD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: organic
Size: special
Weight: 2, Value: 500, Rent: 100, Min Level: 0
Item will give you following abilities:  NONE 
Item is: NONE "
"an edible mushroom",FOOD,,NONE,NONE,organic,special,2,750,120,0,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,"forage","forest terrain","Object 'an edible mushroom', Item type: FOOD
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: organic
Size: special
Weight: 2, Value: 750, Rent: 120, Min Level: 0
Item will give you following abilities:  NONE 
Item is: NONE "
"some bat guano",POTION,HOLD,NONE,NONE,organic,special,1,4200,300,0,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,lvl(bat sonar/poison),"forage","hill terrain","Object 'some bat guano', Item type: POTION
Can be worn on: TAKE HOLD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: organic
Size: special
Weight: 1, Value: 4200, Rent: 300, Min Level: 0
Item will give you following abilities:  NONE 
Item is: NONE 
Casts the following spells at level 20:
   bat sonar
   poison"
"a small ginseng root",FOOD,HOLD,NONE,NONE,organic,special,1,425,100,0,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,lvl(vitm light),"forage","hill terrain","Object 'a small ginseng root', Item type: FOOD
Can be worn on: TAKE HOLD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: organic
Size: special
Weight: 1, Value: 425, Rent: 100, Min Level: 0
Item will give you following abilities:  NONE 
Item is: NONE 
Casts the following spells at level 25:
   vitm light"
"a vial of angel's trumpet oil",POTION,,NONE,NONE,organic,special,1,10000,3500,0,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,lvl(word of recall/smite evil),"forage","hill terrain","Object 'a vial of angel's trumpet oil', Item type: POTION
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: organic
Size: special
Weight: 1, Value: 10000, Rent: 3500, Min Level: 0
Item will give you following abilities:  NONE 
Item is: NONE 
Casts the following spells at level 25:
   word of recall
   smite evil"
"some red mountain berries",FOOD,HOLD,NONE,NONE,organic,special,0,0,0,0,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,lvl(cure light),"forage","mountain terrain","Object 'some red mountain berries', Item type: FOOD
Can be worn on: TAKE HOLD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: organic
Size: special
Weight: 0, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: NONE 
Casts the following spells at level 25:
   cure light"
"a bunch of wild blackberries",FOOD,,NONE,NONE,unknown,special,0,0,0,0,NONE,!RENT,,,,,,,,,,,,,,,,,,,,,,,,,"on ground","Darkrime","Object 'a bunch of wild blackberries', Item type: FOOD
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: unknown
Size: special
Weight: 0, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT "
"a snow hare skull",OTHER,,NONE,NONE,bone,special,2,0,0,0,NONE,!RENT,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"A sabertooth tiger","Darkrime","Object 'a snow hare skull', Item type: OTHER
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: bone
Size: special
Weight: 2, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"a hooded green cloak",ARMOR,ABOUT,RANGER,NONE,unknown,normal,4,14741,1441,15,,UNIQUE UNBREAKABLE NEUTRAL_FLAGGED !IDENTIFY,,,,,20,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,3SPELL_DMG,,,"","Arcane","Object 'a hooded green cloak', Item type: ARMOR
Can be worn on: TAKE ABOUT 
Class restrictions: RANGER 
Race restrictions: NONE 
Object Material: unknown
Size: normal
Weight: 4, Value: 14741, Rent: 1441, Min Level: 15
Item is: UNIQUE UNBREAKABLE NEUTRAL_FLAGGED !IDENTIFY 
AP-apply is 20
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   SPELL_DMG By 3"
"a tattoo of a grizzly bear",WORN,NECK ARMS,WARRIOR ROGUE,NONE,organic,special,1,60000,6000,20,NONE,UNIQUE UNBREAKABLE CURSED_DEADLY PC_USE_ONLY,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2DAMROLL 5HIT_GAIN 20MAXHIT,,,"Goro, Honu chieftain","Darkmire","Object 'a tattoo of a grizzly bear', Item type: WORN
Can be worn on: TAKE NECK ARMS 
Class restrictions: WARRIOR ROGUE 
Race restrictions: NONE 
Object Material: organic
Size: special
Weight: 1, Value: 60000, Rent: 6000, Min Level: 20
Item will give you following abilities:  NONE 
Item is: UNIQUE UNBREAKABLE CURSED_DEADLY PC_USE_ONLY 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   HIT_GAIN By 5
   DAMROLL By 2
   MAXHIT By 20"
